DataJamID,FACILITYTYPEID,YEARCOMPLETED,CENSUSDIVISIONID,GROSSFLOORAREA,NUMFLOORS,WALLTYPEID,WINDOWGLASSTYPE,ATTICINSTHICKNESS,WALLINSTHICKNESS,ZIPCODE,CLIMATEZONEID,ASSET_HEATING_FUEL_ID,HEATING_SYS,HEATINGSYST_EFF,HEATINGSYST_EFF_FLAG,ASSET_COOLING_FUEL_ID,COOLING_SYS,COOLINGSYST_EFF,COOLINGSYST_EFF_FLAG
20981,1,1996,,4187,2,,,,,32653,,2,4,,,2,19,10,
20982,1,1975,,1572,1,,,,,32653,,2,4,,,2,19,6,
20983,1,1980,,1325,1,,,,,32653,,2,4,,,2,19,13,
20984,1,1993,,1765,1,,,,,32653,,2,4,,,2,19,10,
20985,1,1992,,1581,1,,,,,32653,,2,4,,,2,19,10,
20986,1,1994,,2051,1,,,,,32653,,2,4,,,2,19,10,
20987,1,1997,,2970,2,,,,,32653,,2,4,,,2,19,10,
20988,1,1971,,3727,2,,,,,32608,,2,4,,,2,19,6,
20989,1,1981,,1182,1,,,,,32653,,2,4,,,2,19,7,
20990,1,1986,,2422,1,,,,,32606,,2,4,,,2,19,8,
20991,1,1980,,963,1,,,,,32653,,2,4,,,2,19,13,
20992,1,1980,,1248,1,,,,,32653,,2,4,,,2,19,13,
20993,1,1978,,1164,1,,,,,32653,,2,4,,,2,19,6,
20994,1,1987,,1432,1,,,,,32653,,2,4,,,2,19,8,
20995,1,1980,,1464,1,,,,,32653,,2,4,,,2,19,13,
20996,1,1967,,948,1,,,,,32641,,2,4,,,2,19,6,
20997,1,1995,,3221,1,,,,,32653,,2,4,,,2,19,10,
20998,1,1986,,2755,1,,,,,32606,,2,4,,,2,19,8,
20999,1,1999,,4996,2,,,,,32653,,2,4,,,2,19,10,
21000,1,2005,,4824,2,,,,,32653,,2,4,,,2,19,12,
21001,1,1980,,1880,1,,,,,32653,,2,4,,,2,19,13,
21002,1,1992,,1530,1,,,,,32653,,2,4,,,2,19,10,
21003,1,1980,,988,1,,,,,32653,,2,4,,,2,19,13,
21004,1,1985,,1539,1,,,,,32653,,2,4,,,2,19,7,
21005,1,1992,,1565,1,,,,,32653,,2,4,,,2,19,10,
21006,1,1992,,1948,1,,,,,32653,,2,4,,,2,19,10,
21007,1,1998,,3928,2,,,,,32653,,2,4,,,2,19,10,
21008,1,1984,,1887,2,,,,,32653,,2,4,,,2,19,7,
21009,1,1980,,1078,1,,,,,32653,,2,4,,,2,19,13,
21010,1,1982,,2388,3,,,,,32606,,2,4,,,2,19,7,
21011,1,1981,,1620,1,,,,,32606,,2,4,,,2,19,7,
21012,1,2000,,3837,2,,,,,32653,,2,4,,,2,19,10,
21013,1,1981,,1579,1,,,,,32606,,2,4,,,2,19,7,
21014,1,1972,,1200,1,,,,,32641,,2,4,,,,,,
21015,1,1981,,1897,3,,,,,32606,,2,4,,,2,19,7,
21016,1,1975,,1877,1,,,,,32641,,2,4,,,2,19,6,
21017,1,1992,,1509,1,,,,,32653,,2,4,,,2,19,10,
21018,1,1992,,2113,1,,,,,32653,,2,4,,,2,19,10,
21019,1,1977,,1632,1,,,,,32606,,2,4,,,2,19,6,
21020,1,1993,,2877,2,,,,,32653,,2,4,,,2,19,10,
21021,1,1994,,1769,2,,,,,32653,,2,4,,,2,19,10,
21022,1,1998,,3856,2,,,,,32653,,2,4,,,2,19,10,
21023,1,1991,,2009,1,,,,,32653,,2,4,,,2,19,10,
21024,1,1984,,956,1,,,,,32653,,2,4,,,2,19,7,
21025,1,1978,,1350,1,,,,,32653,,2,4,,,2,19,6,
21026,1,1979,,1316,1,,,,,32653,,2,4,,,2,19,6,
21027,1,1984,,1150,1,,,,,32653,,2,4,,,2,19,7,
21028,1,1978,,1196,1,,,,,32653,,2,4,,,2,19,6,
21029,1,1978,,1068,1,,,,,32653,,2,4,,,2,19,6,
21030,1,1980,,1287,1,,,,,32653,,2,4,,,2,19,13,
21031,1,1978,,1056,1,,,,,32653,,2,4,,,2,19,6,
21032,1,1983,,5836,3,,,,,32608,,2,4,,,2,19,7,
21033,1,1986,,2071,1,,,,,32653,,2,4,,,2,19,8,
21034,1,1978,,2953,1,,,,,32653,,2,4,,,2,19,6,
21035,1,1979,,1560,1,,,,,32653,,2,4,,,2,19,6,
21036,1,1982,,1837,2,,,,,32653,,2,4,,,2,19,7,
21037,1,1986,,4012,3,,,,,32653,,2,4,,,2,19,8,
21038,1,1984,,1667,2,,,,,32653,,1,1,,,2,19,7,
21039,1,1979,,1554,1,,,,,32653,,2,4,,,2,19,6,
21040,1,1995,,2199,1,,,,,32653,,2,4,,,2,19,10,
21041,1,1980,,2167,1,,,,,32606,,2,4,,,2,19,13,
21042,1,1982,,1722,1,,,,,32653,,1,1,,,2,19,7,
