DataJamID,YEAR,AnnualElec_kWh
442,2010,12302
443,2010,6803
444,2010,11136
445,2010,12423
446,2010,15577
447,2010,15796
448,2010,16286
450,2010,18390
451,2010,18720
453,2010,10104
454,2010,12923
455,2010,12528
456,2010,8394
457,2010,14036
458,2010,9031
459,2010,4188
460,2010,5093
461,2010,10643
462,2010,5870
463,2010,7450
464,2010,8830
465,2010,12491
466,2010,9052
467,2010,13557
468,2010,8765
469,2010,9719
470,2010,11012
471,2010,1885
472,2010,15011
473,2010,8409
474,2010,33114
475,2010,5372
476,2010,8091
477,2010,15642
478,2010,13634
480,2010,6888
481,2010,13703
482,2010,7010
483,2010,10131
484,2010,37179
485,2010,22610
486,2010,5709
487,2010,1766
488,2010,8912
489,2010,10812
490,2010,20193
491,2010,8545
492,2010,20909
493,2010,3073
494,2010,27540
495,2010,8808
496,2010,9660
497,2010,18603
498,2010,41485
499,2010,18024
500,2010,39687
501,2010,19540
502,2010,15989
504,2010,15290
505,2010,22922
506,2010,24734
507,2010,27502
508,2010,16794
510,2010,15969
511,2010,13298
512,2010,17398
513,2010,16131
514,2010,34203
515,2010,11426
516,2010,11605
517,2010,24135
518,2010,28858
519,2010,13922
520,2010,9634
522,2010,7581
523,2010,9078
524,2010,10036
525,2010,1965
526,2010,10567
529,2010,9357
530,2010,11841
531,2010,12784
532,2010,6599
534,2010,10172
535,2010,13582
536,2010,6543
537,2010,32788
538,2010,13228
539,2010,11690
540,2010,11173
541,2010,12723
542,2010,17525
543,2010,32489
544,2010,13677
546,2010,15417
547,2010,13105
548,2010,9120
549,2010,10851
550,2010,3307
551,2010,18271
552,2010,20352
553,2010,20593
554,2010,13410
555,2010,14885
556,2010,8010
557,2010,6727
558,2010,17441
559,2010,18208
562,2010,11000
563,2010,12298
564,2010,26995
565,2010,23009
566,2010,15422
567,2010,9119
568,2010,20519
569,2010,9307
570,2010,8139
571,2010,5817
572,2010,10323
574,2010,16520
575,2010,18081
577,2010,6674
582,2010,6338
586,2010,25787
590,2010,11774
599,2010,10338
600,2010,17361
601,2010,13371
602,2010,11988
605,2010,10645
606,2010,6325
607,2010,21454
608,2010,15241
609,2010,8366
610,2010,13678
611,2010,10592
612,2010,14773
613,2010,10676
614,2010,24913
615,2010,26948
616,2010,12585
617,2010,2670
618,2010,17284
619,2010,13931
620,2010,11446
621,2010,6794
622,2010,3686
623,2010,16534
624,2010,10547
625,2010,16351
626,2010,8546
627,2010,11243
628,2010,14231
629,2010,5168
630,2010,13593
631,2010,9898
632,2010,8360
633,2010,7108
634,2010,12949
635,2010,9942
636,2010,22606
637,2010,15028
638,2010,23729
639,2010,12746
640,2010,8994
641,2010,5684
643,2010,19113
644,2010,17137
645,2010,12738
646,2010,20370
647,2010,17813
648,2010,17737
649,2010,15298
650,2010,8310
651,2010,8308
652,2010,15148
653,2010,15521
654,2010,15680
655,2010,8599
656,2010,8489
657,2010,7853
658,2010,7255
659,2010,14654
660,2010,4645
661,2010,6286
662,2010,15206
663,2010,8790
664,2010,11339
665,2010,16679
666,2010,1778
668,2010,10886
669,2010,11548
670,2010,22237
671,2010,13115
672,2010,31820
673,2010,7766
674,2010,11034
676,2010,4057
677,2010,24084
679,2010,17599
680,2010,7621
681,2010,8213
682,2010,10681
684,2010,32020
686,2010,4121
687,2010,4320
691,2010,3267
692,2010,7872
693,2010,10848
694,2010,6589
695,2010,14046
698,2010,28032
699,2010,15934
701,2010,20246
702,2010,16945
703,2010,7866
705,2010,15138
706,2010,56147
707,2010,1914
708,2010,21848
709,2010,8579
710,2010,12033
711,2010,7763
712,2010,20245
713,2010,10866
714,2010,12777
715,2010,8126
716,2010,12828
717,2010,22432
718,2010,3694
719,2010,6490
720,2010,21617
721,2010,23956
722,2010,1892
723,2010,13062
724,2010,11389
727,2010,10588
728,2010,15846
729,2010,8502
730,2010,47796
731,2010,16828
732,2010,13665
734,2010,9459
735,2010,14791
736,2010,8384
737,2010,12146
738,2010,15729
739,2010,18654
742,2010,11709
743,2010,14572
744,2010,22291
745,2010,8013
746,2010,32551
748,2010,14727
749,2010,13454
750,2010,11837
752,2010,9364
753,2010,19834
755,2010,17834
756,2010,23521
757,2010,15736
758,2010,13379
759,2010,11351
763,2010,7045
764,2010,8511
765,2010,9166
766,2010,14634
768,2010,18262
769,2010,7555
770,2010,9782
771,2010,17093
773,2010,8652
774,2010,14663
775,2010,17419
776,2010,13000
777,2010,5773
778,2010,6307
779,2010,12583
780,2010,14407
781,2010,16330
782,2010,20154
783,2010,11432
784,2010,14057
785,2010,7619
786,2010,8357
787,2010,11376
789,2010,9324
790,2010,12882
793,2010,7032
794,2010,13696
795,2010,31435
796,2010,8831
797,2010,12874
798,2010,5118
799,2010,18457
801,2010,13590
803,2010,14942
804,2010,11323
805,2010,5199
806,2010,13071
807,2010,6397
809,2010,8754
810,2010,16556
811,2010,11129
812,2010,17637
813,2010,21364
814,2010,6253
815,2010,7960
817,2010,23844
818,2010,14410
819,2010,21110
820,2010,15360
821,2010,422
822,2010,8045
823,2010,20242
824,2010,10527
825,2010,11763
827,2010,5933
828,2010,7848
829,2010,3462
830,2010,12235
831,2010,9685
832,2010,19980
833,2010,3064
834,2010,21165
835,2010,7647
836,2010,24565
837,2010,17980
839,2010,9936
840,2010,13095
841,2010,16097
842,2010,8637
843,2010,14736
844,2010,3294
845,2010,11169
846,2010,20613
848,2010,14436
849,2010,8988
850,2010,12692
851,2010,15570
852,2010,29151
853,2010,13315
855,2010,6292
856,2010,13547
857,2010,20967
858,2010,13681
859,2010,6851
860,2010,28131
861,2010,21752
862,2010,12784
863,2010,11052
864,2010,16512
865,2010,3651
866,2010,9205
867,2010,8558
868,2010,37092
869,2010,2935
870,2010,10778
871,2010,16269
872,2010,15515
873,2010,16998
874,2010,21213
875,2010,19967
876,2010,21869
877,2010,7197
878,2010,10229
879,2010,7555
880,2010,8678
881,2010,9111
882,2010,15651
883,2010,11354
884,2010,15628
885,2010,10841
886,2010,7515
887,2010,7748
888,2010,8733
889,2010,15617
890,2010,17409
892,2010,9940
893,2010,10703
894,2010,8411
895,2010,1447
896,2010,4245
897,2010,20577
898,2010,37242
899,2010,12129
900,2010,7671
901,2010,10255
902,2010,9577
903,2010,20735
904,2010,21646
905,2010,14386
907,2010,14252
908,2010,6174
911,2010,14445
912,2010,5473
913,2010,15981
914,2010,25475
915,2010,1624
916,2010,16243
917,2010,18724
918,2010,18827
919,2010,8979
920,2010,6191
921,2010,12760
922,2010,11218
923,2010,10906
924,2010,7583
925,2010,16295
926,2010,9567
927,2010,7354
928,2010,26193
929,2010,12550
930,2010,8582
931,2010,13165
932,2010,13806
933,2010,19674
934,2010,6574
935,2010,12222
936,2010,16437
937,2010,4917
938,2010,10460
939,2010,6237
940,2010,20251
941,2010,8942
945,2010,4977
946,2010,15326
947,2010,11241
948,2010,13767
949,2010,11254
950,2010,13378
951,2010,20358
954,2010,7206
955,2010,7162
957,2010,4797
958,2010,8667
959,2010,8595
960,2010,10061
961,2010,11536
962,2010,6690
963,2010,9699
964,2010,15348
965,2010,11334
966,2010,15506
967,2010,5453
968,2010,14114
969,2010,8792
970,2010,16522
971,2010,10000
972,2010,16405
973,2010,7486
974,2010,6010
976,2010,12963
977,2010,15299
978,2010,17862
979,2010,16157
980,2010,9036
981,2010,15724
982,2010,14458
983,2010,19577
984,2010,13315
986,2010,19019
988,2010,7786
989,2010,16197
990,2010,13906
991,2010,12089
992,2010,20556
993,2010,12168
994,2010,12346
995,2010,9496
996,2010,7328
997,2010,24989
998,2010,10919
999,2010,15898
1000,2010,33101
1002,2010,12577
1003,2010,20567
1004,2010,8701
1005,2010,16184
1006,2010,13828
1007,2010,18027
1008,2010,14479
1011,2010,14698
1012,2010,8272
1013,2010,19296
1015,2010,13544
1016,2010,9534
1017,2010,14967
1018,2010,14242
1019,2010,19077
1020,2010,7461
1021,2010,13189
1022,2010,7354
1023,2010,25409
1024,2010,10720
1025,2010,16302
1026,2010,13787
1027,2010,10226
1028,2010,20953
1029,2010,3019
1030,2010,252
1031,2010,11050
1032,2010,21150
1033,2010,16308
1034,2010,803
1035,2010,9334
1036,2010,2753
1039,2010,9408
1040,2010,14438
1041,2010,19652
1042,2010,25462
1043,2010,5356
1044,2010,12118
1045,2010,8859
1046,2010,12817
1047,2010,28180
1049,2010,25509
1050,2010,12432
1054,2010,9955
1055,2010,15091
1057,2010,6990
1059,2010,13716
1060,2010,13335
1061,2010,15316
1062,2010,21451
1063,2010,6522
1064,2010,9280
1065,2010,6858
1066,2010,8079
1067,2010,4829
1068,2010,12024
1069,2010,22826
1071,2010,8551
1072,2010,4219
1073,2010,14728
1074,2010,9189
1075,2010,8991
1076,2010,19024
1077,2010,18651
1078,2010,13352
1079,2010,11621
1080,2010,7106
1081,2010,10989
1082,2010,7094
1083,2010,16025
1084,2010,23630
1085,2010,19612
1086,2010,16036
1087,2010,20352
1088,2010,2583
1089,2010,13970
1090,2010,15782
1091,2010,10156
1092,2010,11618
1093,2010,34461
1094,2010,15926
1095,2010,19279
1096,2010,8600
1097,2010,11586
1098,2010,36878
1099,2010,13040
1100,2010,4015
1101,2010,17023
1102,2010,11939
1103,2010,7367
1104,2010,22992
1105,2010,26786
1106,2010,18750
1109,2010,10134
1110,2010,7209
1111,2010,15443
1112,2010,4521
1113,2010,10280
1116,2010,9787
1117,2010,10241
1118,2010,14435
1119,2010,23832
1120,2010,15384
1121,2010,7978
1122,2010,17635
1123,2010,5566
1124,2010,8677
1125,2010,13368
1126,2010,33605
1128,2010,17219
1129,2010,23903
1130,2010,12090
1131,2010,17025
1132,2010,17953
1133,2010,3623
1134,2010,11208
1135,2010,29770
1136,2010,14886
1137,2010,17141
1138,2010,21221
1140,2010,13924
1141,2010,4052
1142,2010,10223
1143,2010,21617
1144,2010,7481
1145,2010,9848
1146,2010,9490
1147,2010,14933
1148,2010,26398
1149,2010,18895
1151,2010,7008
1152,2010,23971
1153,2010,2603
1154,2010,11941
1155,2010,13994
1156,2010,10408
1157,2010,22295
1158,2010,21622
1159,2010,11165
1161,2010,8188
1162,2010,19319
1163,2010,9492
1164,2010,15430
1165,2010,11139
1166,2010,9162
1167,2010,16752
1168,2010,6286
1169,2010,26872
1170,2010,16617
1171,2010,10811
1172,2010,11391
1173,2010,7005
1174,2010,14377
1175,2010,11622
1176,2010,13232
1177,2010,7190
1178,2010,18650
1179,2010,3932
1180,2010,16052
1181,2010,10793
1182,2010,8212
1183,2010,6639
1184,2010,14101
1185,2010,18198
1186,2010,19481
1187,2010,4732
1188,2010,21300
1189,2010,15778
1191,2010,6929
1192,2010,10392
1193,2010,16197
1194,2010,15947
1195,2010,18737
1196,2010,21878
1197,2010,6498
1198,2010,19630
1199,2010,6923
1200,2010,5689
1201,2010,13662
1202,2010,14347
1204,2010,4741
1205,2010,13539
1207,2010,17050
1208,2010,14791
1210,2010,14044
1211,2010,21886
1212,2010,13689
1213,2010,9074
1214,2010,8122
1215,2010,7373
1216,2010,27392
1217,2010,8394
1219,2010,30838
1220,2010,11753
1221,2010,17761
1222,2010,23144
1223,2010,19267
1224,2010,21920
1225,2010,7520
1227,2010,9802
1229,2010,25938
1231,2010,16259
1232,2010,6698
1234,2010,13517
1235,2010,25201
1236,2010,19204
1238,2010,13459
1239,2010,11760
1240,2010,13878
1241,2010,7693
1243,2010,34557
1244,2010,12803
1245,2010,14425
1246,2010,6102
1247,2010,14169
1249,2010,30084
1250,2010,5202
1251,2010,12113
1252,2010,13612
1253,2010,19271
1254,2010,27919
1255,2010,11826
1256,2010,6888
1257,2010,12260
1259,2010,5923
1261,2010,22575
1262,2010,21678
1263,2010,22271
1264,2010,6777
1265,2010,13113
1266,2010,14873
1267,2010,4872
1268,2010,7533
1269,2010,16493
1270,2010,14610
1271,2010,6035
1272,2010,10704
1273,2010,4536
1274,2010,4340
1275,2010,9208
1276,2010,18993
1277,2010,14451
1278,2010,13655
1279,2010,11884
1280,2010,17217
1281,2010,21000
1282,2010,8077
1283,2010,8145
1284,2010,24714
1285,2010,20040
1286,2010,14479
1288,2010,15678
1289,2010,20249
1290,2010,12224
1291,2010,33822
1292,2010,20027
1293,2010,14456
1294,2010,19309
1297,2010,21511
1298,2010,4826
1299,2010,6462
1300,2010,18028
1301,2010,18975
1302,2010,8895
1303,2010,7125
1304,2010,4714
1305,2010,41278
1306,2010,6424
1307,2010,1396
1308,2010,23114
1309,2010,15747
1310,2010,8202
1311,2010,17229
1312,2010,21837
1313,2010,29715
1314,2010,14239
1315,2010,12010
1316,2010,10340
1317,2010,1849
1318,2010,13886
1319,2010,35981
1320,2010,6655
1321,2010,7635
1322,2010,13540
1323,2010,8949
1324,2010,19640
1325,2010,1811
1326,2010,31925
1327,2010,11092
1328,2010,6461
1329,2010,9654
1330,2010,10208
1331,2010,12019
1333,2010,17026
1334,2010,19288
1335,2010,7078
1336,2010,11805
1337,2010,16611
1338,2010,17224
1339,2010,21569
1342,2010,12588
1343,2010,9689
1344,2010,13950
1345,2010,21049
1346,2010,26306
1347,2010,8675
1348,2010,5607
1349,2010,22591
1350,2010,16230
1351,2010,7650
1352,2010,4620
1353,2010,13938
1354,2010,36313
1355,2010,19054
1356,2010,14132
1357,2010,18531
1358,2010,18105
1359,2010,10454
1360,2010,14480
1361,2010,6196
1362,2010,11941
1363,2010,9708
1364,2010,11212
1365,2010,5529
1366,2010,10030
1367,2010,26456
1368,2010,15810
1370,2010,14739
1372,2010,26403
1373,2010,19962
1374,2010,15110
1376,2010,16924
1377,2010,6685
1378,2010,40384
1379,2010,18036
1380,2010,9079
1381,2010,18018
1382,2010,13205
1383,2010,15945
1384,2010,7458
1385,2010,4910
1386,2010,4330
1387,2010,9683
1388,2010,23417
1389,2010,8613
1390,2010,12398
1391,2010,9365
1392,2010,12763
1393,2010,14681
1394,2010,3546
1395,2010,11986
1396,2010,9075
1397,2010,18470
1398,2010,12427
1399,2010,11376
1400,2010,5414
1401,2010,4273
1402,2010,12890
1403,2010,2499
1404,2010,11641
1405,2010,8438
1406,2010,10433
1407,2010,3591
1408,2010,8796
1409,2010,14277
1410,2010,16585
1411,2010,7323
1412,2010,14183
1413,2010,21930
1414,2010,10986
1415,2010,8073
1416,2010,19091
1417,2010,14862
1418,2010,26211
1419,2010,9098
1420,2010,9260
1421,2010,3945
1422,2010,7603
1423,2010,11579
1424,2010,12397
1425,2010,8818
1426,2010,6297
1427,2010,10438
1428,2010,5186
1429,2010,8809
1430,2010,27566
1431,2010,7937
1432,2010,6782
1433,2010,11259
1434,2010,7024
1435,2010,6691
1436,2010,13894
1438,2010,21762
1439,2010,4751
1440,2010,4979
1441,2010,4920
1442,2010,14494
1443,2010,30725
1444,2010,19002
1445,2010,19704
1446,2010,21409
1447,2010,12547
1448,2010,9403
1449,2010,14465
1451,2010,13374
1452,2010,7140
1453,2010,9547
1455,2010,6682
1456,2010,5502
1457,2010,3877
1458,2010,13375
1460,2010,22844
1461,2010,14052
1462,2010,24099
1463,2010,6607
1464,2010,10410
1465,2010,18910
1466,2010,9651
1467,2010,10525
1468,2010,19498
1469,2010,9806
1470,2010,6387
1471,2010,13355
1472,2010,10783
1473,2010,13600
1475,2010,12512
1477,2010,12729
1478,2010,11717
1479,2010,21180
1480,2010,11903
1482,2010,12963
1483,2010,11041
1486,2010,22675
1487,2010,11609
1488,2010,7678
1489,2010,14307
1490,2010,27499
1491,2010,15685
1492,2010,19785
1493,2010,26071
1494,2010,9910
1495,2010,7632
1496,2010,35395
1497,2010,7165
1498,2010,9936
1499,2010,5253
1500,2010,19570
1502,2010,1822
1503,2010,6289
1506,2010,18798
1507,2010,15154
1508,2010,13741
1510,2010,12352
1511,2010,6795
1512,2010,8091
1513,2010,6578
1514,2010,15425
1515,2010,15691
1516,2010,15866
1517,2010,753
1518,2010,3323
1519,2010,7004
2388,2010,9768
2390,2010,11870
2391,2010,24961
2392,2010,14875
2393,2010,12788
2394,2010,14178
2657,2010,8475
2658,2010,21186
2660,2010,6914
2661,2010,4514
2662,2010,13921
2663,2010,19009
2665,2010,6921
2666,2010,9035
2667,2010,20737
2668,2010,18935
2669,2010,10706
2670,2010,5287
2671,2010,6970
2672,2010,5385
2674,2010,10658
2675,2010,14053
2679,2010,13254
2680,2010,6209
2681,2010,13648
2682,2010,28198
2686,2010,3277
2687,2010,52048
2688,2010,14127
2689,2010,17773
2690,2010,16331
2691,2010,9084
2692,2010,26228
2693,2010,11419
2694,2010,10226
2695,2010,5140
2697,2010,8625
2698,2010,10885
2699,2010,28817
2700,2010,29414
2701,2010,16838
2703,2010,12568
2704,2010,17906
2705,2010,5559
2706,2010,18433
2707,2010,25568
2708,2010,12951
2709,2010,13589
2711,2010,12494
2712,2010,13772
2713,2010,19011
2714,2010,8174
2719,2010,9524
2720,2010,9792
2721,2010,9475
2722,2010,13308
2723,2010,9533
2724,2010,19374
2725,2010,17429
2726,2010,13140
2727,2010,53129
2729,2010,10664
2730,2010,8401
2731,2010,20108
2732,2010,4634
2733,2010,20909
2734,2010,21700
2735,2010,9637
2736,2010,17647
2739,2010,34190
2740,2010,9992
2741,2010,3790
2742,2010,17160
2743,2010,8272
2744,2010,18342
2745,2010,15845
2746,2010,14420
2747,2010,19967
2748,2010,8098
2749,2010,21757
2751,2010,8436
2752,2010,15503
2753,2010,6590
2754,2010,15210
2755,2010,5067
2756,2010,21298
2758,2010,14887
2761,2010,12551
2762,2010,1776
2763,2010,12799
2764,2010,5058
2766,2010,13827
2767,2010,7042
2768,2010,12126
2769,2010,5312
2770,2010,11765
2771,2010,13382
2773,2010,17151
2774,2010,5632
2775,2010,26161
2778,2010,16905
2780,2010,6084
2781,2010,6751
2782,2010,13556
2783,2010,18826
2784,2010,25128
2785,2010,5557
2786,2010,6902
2787,2010,11071
2788,2010,12294
2789,2010,7131
2790,2010,7922
2791,2010,15097
2792,2010,14065
2793,2010,4862
2795,2010,16139
2796,2010,10187
2797,2010,11233
2803,2010,7222
2804,2010,17944
2805,2010,14973
2806,2010,5564
2807,2010,24379
2808,2010,13052
2809,2010,15134
2810,2010,12181
2811,2010,1810
2813,2010,17277
2814,2010,5772
2815,2010,11572
2816,2010,23492
2817,2010,14033
2818,2010,5917
2819,2010,12213
2820,2010,23202
2821,2010,18824
2822,2010,16347
2823,2010,16722
2827,2010,11601
2828,2010,10958
2829,2010,9588
2830,2010,22715
2832,2010,13812
2833,2010,28447
2834,2010,28989
2836,2010,8559
2837,2010,10499
2838,2010,14994
2839,2010,12720
2840,2010,11158
2841,2010,7284
2842,2010,6214
2843,2010,12102
2844,2010,12998
2845,2010,17961
2846,2010,11201
2847,2010,5026
2848,2010,20395
2849,2010,7897
2852,2010,5748
2853,2010,11009
2854,2010,4055
2855,2010,17443
2856,2010,7457
2857,2010,10405
2859,2010,14863
2860,2010,14716
2861,2010,22128
2862,2010,6415
2863,2010,20955
2864,2010,18186
2867,2010,7512
2868,2010,17236
2869,2010,17878
2871,2010,11246
2873,2010,18539
2874,2010,18010
2875,2010,11498
2876,2010,22943
2877,2010,10348
2878,2010,16256
2879,2010,9790
2880,2010,16725
2881,2010,34861
2883,2010,10113
2884,2010,8519
2885,2010,7270
2887,2010,20488
2888,2010,49438
2889,2010,23716
2891,2010,12230
2892,2010,38319
2895,2010,4431
2897,2010,8713
2900,2010,7471
2901,2010,21997
2902,2010,12568
2903,2010,7531
2904,2010,10319
2905,2010,13660
2906,2010,9557
2907,2010,12912
2908,2010,12054
2909,2010,10894
2911,2010,11503
2912,2010,7758
2914,2010,18241
2915,2010,8956
2916,2010,12819
2917,2010,27092
2918,2010,14012
2919,2010,10503
2920,2010,10964
2921,2010,20186
2922,2010,9703
2923,2010,7684
2924,2010,17057
2925,2010,1704
2926,2010,5754
2927,2010,9012
2928,2010,15204
2929,2010,8295
2930,2010,7456
2931,2010,20443
2934,2010,4842
2935,2010,20347
2936,2010,16030
2937,2010,16217
2940,2010,9752
2941,2010,9840
2942,2010,7948
2943,2010,42466
2944,2010,10951
2946,2010,22254
2947,2010,24453
2950,2010,12761
2951,2010,400
2952,2010,13068
2953,2010,10644
2954,2010,19339
2956,2010,6579
2957,2010,6192
2958,2010,14614
2959,2010,15861
2961,2010,14960
2962,2010,18219
2963,2010,6541
2964,2010,34019
2965,2010,9757
2966,2010,8989
2967,2010,25800
2970,2010,6912
2971,2010,9441
2972,2010,6179
2973,2010,25484
2976,2010,3437
2977,2010,12642
2978,2010,12952
2979,2010,22086
2980,2010,27189
2981,2010,18135
2982,2010,19609
2983,2010,11632
2984,2010,12895
2985,2010,19071
2986,2010,7616
2987,2010,34130
2988,2010,21418
2989,2010,20371
2990,2010,20299
2991,2010,6869
2992,2010,18050
2993,2010,22045
2994,2010,21405
2996,2010,13561
2997,2010,12958
2998,2010,5461
2999,2010,6452
3000,2010,15526
3001,2010,24872
3002,2010,12383
3004,2010,6889
3005,2010,6590
3006,2010,8123
3007,2010,11818
3008,2010,9813
3012,2010,13752
3013,2010,12686
3190,2010,14412
3191,2010,8483
3192,2010,10822
3193,2010,10449
3194,2010,18484
3195,2010,6242
3196,2010,22768
3197,2010,33187
3198,2010,17908
3199,2010,9916
3200,2010,5938
3381,2010,3240
3382,2010,12930
3383,2010,12707
3384,2010,16114
3385,2010,10801
3386,2010,17188
3387,2010,6519
3388,2010,18221
3389,2010,5984
